relpath,changed_lines_normalized,kind
common/agreement_term_values/00_agreement_term_values.txt,50,text
common/ai_budget/00_advanced_logic_budget.txt,8,text
common/ai_budget/00_alloys_budget.txt,640,text
common/ai_budget/00_astral_threads_budget.txt,54,text
common/ai_budget/00_biomass_budget.txt,60,text
common/ai_budget/00_dark_matter_budget.txt,100,text
common/ai_budget/00_energy_budget.txt,32,text
common/ai_budget/00_exotic_gases_budget.txt,141,text
common/ai_budget/00_food_budget.txt,191,text
common/ai_budget/00_living_metal_budget.txt,71,text
common/ai_budget/00_luxury_goods_budget.txt,22,text
common/ai_budget/00_minerals_budget.txt,26,text
common/ai_budget/00_nanites_budget.txt,16,text
common/ai_budget/00_rare_crystals_budget.txt,154,text
common/ai_budget/00_trade_budget.txt,150,text
common/ai_budget/00_volatile_motes_budget.txt,85,text
common/ai_budget/00_zro_budget.txt,61,text
common/anomalies/100_anomaly_categories_paragon.txt,15,text
common/anomalies/101_anomaly_categories_astral_planes.txt,49,text
common/anomalies/103_anomaly_categories_extreme_frontiers.txt,6,text
common/armies/00_defense_armies.txt,73,text
common/armies/01_assault_armies.txt,268,text
common/armies/02_event_armies.txt,91,text
common/artifact_actions/artifact_actions.txt,226,text
common/ascension_perks/00_ascension_paths.txt,402,text
common/ascension_perks/00_ascension_perks.txt,598,text
common/buildings/00_capital_buildings.txt,116,text
common/buildings/02_government_buildings.txt,220,text
common/buildings/03_resource_buildings.txt,522,text
common/buildings/04_manufacturing_buildings.txt,385,text
common/buildings/05_research_buildings.txt,255,text
common/buildings/06_trade_buildings.txt,47,text
common/buildings/07_amenity_buildings.txt,198,text
common/buildings/08_unity_buildings.txt,610,text
common/buildings/09_army_buildings.txt,75,text
common/buildings/10_deposit_buildings.txt,57,text
common/buildings/12_event_buildings.txt,142,text
common/buildings/14_branch_office_buildings.txt,453,text
common/buildings/15_overlord_holdings.txt,233,text
common/component_templates/00_strike_craft.txt,43,text
common/component_templates/00_utilities.txt,149,text
common/component_templates/00_utilities_afterburners.txt,14,text
common/component_templates/00_utilities_aux.txt,81,text
common/component_templates/00_utilities_aux_distant_stars.txt,5,text
common/component_templates/00_utilities_aux_first_contact.txt,240,text
common/component_templates/00_utilities_aux_grand_archive.txt,7,text
common/component_templates/00_utilities_aux_megacorp.txt,3,text
common/component_templates/00_utilities_drives.txt,54,text
common/component_templates/00_utilities_reactors.txt,168,text
common/component_templates/00_utilities_roles.txt,175,text
common/component_templates/00_utilities_sensors.txt,37,text
common/component_templates/00_utilities_shields.txt,252,text
common/component_templates/00_utilities_thrusters.txt,154,text
common/component_templates/00_weapons_archaeotechnology.txt,89,text
common/component_templates/00_weapons_distant_stars.txt,3,text
common/component_templates/00_weapons_energy.txt,323,text
common/component_templates/00_weapons_extra_large.txt,115,text
common/component_templates/00_weapons_megacorps.txt,21,text
common/component_templates/00_weapons_missiles.txt,85,text
common/component_templates/00_weapons_pointdefence.txt,48,text
common/component_templates/00_weapons_projectile.txt,237,text
common/country_customization/00_country_customization.txt,132,text
common/deposits/01_orbital_deposits.txt,93,text
common/deposits/01_planetary_deposits.txt,2171,text
common/deposits/02_sr_deposits.txt,188,text
common/districts/00_urban_districts.txt,76,text
common/districts/01_arcology_districts.txt,57,text
common/districts/02_rural_districts.txt,258,text
common/districts/03_habitat_districts.txt,111,text
common/economic_categories/00_common_categories.txt,158,text
common/economic_plans/01_base.txt,3,text
common/edicts/01_campaigns.txt,297,text
common/gamesetup_settings/gamesetup_settings.txt,132,text
common/governments/councilors/00_councilors.txt,177,text
common/inline_scripts/cosmic_storms/Spawn.txt,2,text
common/inline_scripts/cosmic_storms/StormConfig.txt,13,text
common/inline_scripts/jobs/job_enforcer_additional_modifiers.txt,27,text
common/inline_scripts/output/foundry_output.txt,24,text
common/job_tags/00_tags.txt,8,text
common/on_actions/00_on_actions.txt,424,text
common/planet_classes/00_planet_classes.txt,287,text
common/policies/00_policies.txt,916,text
common/pop_categories/00_social_classes.txt,25,text
common/pop_categories/02_other_categories.txt,299,text
common/pop_jobs/00_other_jobs.txt,743,text
common/pop_jobs/01_ruler_jobs.txt,97,text
common/pop_jobs/02_specialist_jobs.txt,793,text
common/pop_jobs/03_worker_jobs.txt,320,text
common/pop_jobs/04_gestalt_jobs.txt,824,text
common/pop_jobs/06_event_jobs.txt,720,text
common/pop_jobs/10_paragon_fake_jobs.txt,0,ws-identical
common/pop_jobs/13_machine_age_jobs.txt,322,text
common/pop_jobs/14_grand_archive_jobs.txt,346,text
common/pop_jobs/14_wilderness_jobs.txt,0,ws-identical
common/pop_jobs/15_strange_worlds_jobs.txt,60,text
common/random_names/base/00_random_names.txt,213,text
common/scripted_effects/cosmic_storms_scripted_effects.txt,49,text
common/scripted_triggers/00_scripted_triggers.txt,359,text
common/scripted_triggers/01_scripted_triggers_buildings.txt,244,text
common/section_templates/battleship.txt,34,text
common/section_templates/corvette.txt,9,text
common/section_templates/cruiser.txt,27,text
common/section_templates/destroyer.txt,19,text
common/section_templates/juggernaut.txt,3,text
common/section_templates/other.txt,53,text
common/section_templates/overlord.txt,84,text
common/section_templates/titan.txt,9,text
common/ship_sizes/00_first_contact.txt,69,text
common/ship_sizes/00_orbital_rings.txt,31,text
common/ship_sizes/00_ship_sizes.txt,211,text
common/ship_sizes/00_starbases.txt,126,text
common/ship_sizes/01_colossi.txt,50,text
common/ship_sizes/18_juggernauts.txt,52,text
common/star_classes/00_star_classes.txt,7387,text
common/strategic_resources/00_strategic_resources.txt,126,text
common/technology/00_ancient_relics_tech.txt,15,text
common/tradable_actions/00_tradable_actions.txt,45,text
common/traditions/00_adaptability.txt,79,text
common/traditions/00_expansion.txt,157,text
common/traditions/00_logistics.txt,0,ws-identical
common/traditions/01_virtuality.txt,4,text
common/traits/00_enclave_leader_traits.txt,12,text
common/traits/00_general_traits.txt,51,text
common/traits/00_generic_leader_traits.txt,59,text
common/traits/00_governor_traits.txt,152,text
common/traits/00_special_leader_traits.txt,20,text
common/traits/00_starting_ruler_traits.txt,37,text
common/traits/01_species_traits_habitability.txt,4187,text
common/traits/09_overlord_traits.txt,20,text
events/game_start.txt,1338,text
gfx/exe_icon.bmp,-1,binary-differs
gfx/FX/border.shader,4,text
gfx/FX/pdxmesh.shader,9,text
gfx/FX/restorescene.shader,8,text
gfx/interface/anomaly/line_short.dds,-1,binary-differs
gfx/interface/buttons/button_116_24_animated.dds,-1,binary-differs
gfx/interface/buttons/button_200_24_animated.dds,-1,binary-differs
gfx/interface/buttons/button_268_animated.dds,-1,binary-differs
gfx/interface/buttons/button_520_animated.dds,-1,binary-differs
gfx/interface/buttons/checkbox_20_20_01.dds,-1,binary-differs
gfx/interface/buttons/general_tab.dds,-1,binary-differs
gfx/interface/buttons/standard_button_200_24_animated.dds,-1,binary-differs
gfx/interface/buttons/white_stripe.dds,-1,binary-differs
gfx/interface/diplomacy/diplomacy_portrait_frame.dds,-1,binary-differs
gfx/interface/diplomacy/diplomacy_portrait_mask.dds,-1,binary-differs
gfx/interface/diplomacy/diplomacy_portrait_mask2.dds,-1,binary-differs
gfx/interface/diplomacy/diplomacy_shadow_frame.dds,-1,binary-differs
gfx/interface/diplomacy/diplomacy_stripes.dds,-1,binary-differs
gfx/interface/frontend/faded_border_bottom.dds,-1,binary-differs
gfx/interface/frontend/faded_border_top.dds,-1,binary-differs
gfx/interface/frontend/gamesetup_colorpicker.dds,-1,binary-differs
gfx/interface/frontend/gamesetup_colorpicker_highlight.dds,-1,binary-differs
gfx/interface/frontend/gamesetup_delete.dds,-1,binary-differs
